oid|iid|quantity
GQGV803982|MEA4452025|6
GQGV803982|SEA4673165|7
GQGV803982|SEA4185464|4
GQGV803982|SEA1431819|11
GQGV803982|CER1477445|4
GQGV803982|VEG0025252|11
GQGV803982|FRO6260444|5
GQGV803982|FRO6049007|8
GQGV803982|FRU4537873|2
GQGV803982|FRU2196988|3
GQGV803982|FRU2260452|4
GQGV803982|CAN4634011|4
GUTT007204|MEA4233920|8
GUTT007204|MEA2912556|5
GUTT007204|CER9337750|6
GUTT007204|FRU5891741|3
GUTT007204|VEG0025252|5
GUTT007204|SEA1431819|6
GUTT007204|FRU4642919|7
GUTT007204|SEA2722405|3
GUTT007204|CER1323682|3
GUTT007204|SEA6016141|6
GUTT007204|MEA4452025|8
GUTT007204|FRU2260452|6
GUTT007204|SEA5384680|1
GUTT007204|FRU2196988|9
GUTT007204|FRO6260444|7
GUTT007204|CAN5715898|8
GUTT007204|CAN0394548|9
GUTT007204|CAN4634011|3
GUTT007204|CER1477445|5
GUTT007204|VEG9900080|5
GUTT007204|SEA9154778|8
GUTT007204|VEG1829576|4
GUTT007204|CER5008033|3
GUTT007204|CER5614256|3
JNAA865093|CAN0394548|4
JNAA865093|FRU4642919|9
JNAA865093|FRO6049007|3
JNAA865093|MEA4233920|6
JNAA865093|FRU1209180|2
JNAA865093|CER1477445|8
JNAA865093|SEA4673165|15
JNAA865093|MEA4452025|6
JNAA865093|SEA9154778|3
JNAA865093|SEA6016141|7
JNAA865093|CER5008033|2
JNAA865093|CAN5715898|2
JNAA865093|FRU4537873|12
JNAA865093|VEG9900080|5
JNAA865093|CER9337750|7
JNAA865093|VEG1829576|10
JNAA865093|MEA2912556|5
JNAA865093|SEA5384680|2
JNAA865093|FRU2196988|6
JNAA865093|VEG0025252|4
JNAA865093|SEA1431819|4
JNAA865093|SEA2722405|3
JNAA865093|FRU5891741|2
JNAA865093|VEG5127063|2
JNAA865093|CER1323682|5
JNAB016524|MEA2912556|5
JNAB016524|FRU5891741|6
JNAB016524|CER1323682|11
JNAB016524|SEA2722405|2
JNAB016524|CAN4634011|5
JNAB016524|SEA4673165|1
JNAB016524|CER9337750|10
JNAB016524|SEA9154778|13
JNAB016524|SEA5384680|7
JNAB016524|VEG9900080|2
JNAB016524|CER5008033|8
JNAB016524|VEG0025252|7
JNAB016524|FRO6260444|1
JNAB016524|FRU1209180|6
JNAB016524|SEA4185464|3
JNAB016524|CER5614256|8
JNAB016524|FRU2260452|4
JNAB016524|MEA4452025|7
JNAB016524|FRU4642919|7
JNAB016524|SEA6016141|2
JNAB016524|CAN0394548|2
JNAB016524|FRU2196988|4
JNAB016524|CER1477445|2
JNAB016524|FRU4537873|3
JNAB016524|VEG5127063|1
JNAB016524|FRO6049007|5
JNAB016524|VEG1829576|4
JNAB016524|SEA1431819|1
NHFL558415|SEA4673165|5
NHFL558415|FRU1209180|1
NHFL558415|VEG9900080|10
NHFL558415|SEA4185464|4
NHFL558415|CER9337750|5
NHFL558415|FRU2196988|3
NHFL558415|VEG5127063|5
NHFL558415|CER5008033|5
NHFL558415|SEA5384680|4
NHFL558415|FRU4537873|4
NHFL558415|FRU2260452|5
NHFL558415|MEA4452025|3
NHFL558415|FRO6260444|8
NHFL558415|CAN5715898|1
NHFL558415|SEA6016141|2
NHFL558415|FRO6049007|4
NHFL558415|SEA1431819|6
NHFL558415|CAN4634011|5
NHFL558415|FRU5891741|4
NHFL558415|CER1477445|5
NHFL558415|FRU4642919|3
NHFL558415|CAN0394548|3
TJHJ855570|VEG0025252|7
TJHJ855570|SEA4673165|7
TJHJ855570|FRU2196988|5
TJHJ855570|CER5614256|3
TJHJ855570|SEA6016141|5
TJHJ855570|SEA9154778|6
TJHJ855570|FRU4537873|12
TJHJ855570|SEA1431819|9
TJHJ855570|CER5008033|6
TJHJ855570|CER1477445|3
TJHJ855570|VEG9900080|5
TJHJ855570|SEA2722405|7
TJHJ855570|FRO6049007|6
TJHJ855570|CAN4634011|7
TJHJ855570|CAN5715898|7
TJHJ855570|MEA2912556|1
TJHJ855570|FRU1209180|3
TJHJ855570|VEG5127063|8
TJHJ855570|MEA4233920|8
TJHJ855570|SEA5384680|2
TJHJ855570|FRO6260444|5
TJHJ855570|FRU2260452|1
TJHJ855570|CER1323682|2
TJHJ855570|CAN0394548|2
TJHJ855570|MEA4452025|4
TJHJ855570|FRU5891741|1
TJHJ855570|SEA4185464|5
TJHJ855570|CER9337750|1
TYDU340575|VEG9900080|11
TYDU340575|SEA1431819|8
TYDU340575|CER9337750|6
TYDU340575|FRO6049007|6
TYDU340575|SEA6016141|8
TYDU340575|MEA2912556|16
TYDU340575|VEG1829576|12
TYDU340575|SEA9154778|8
TYDU340575|MEA4233920|1
TYDU340575|FRO6260444|6
TYDU340575|SEA2722405|10
TYDU340575|FRU5891741|6
TYDU340575|CER5008033|3
TYDU340575|SEA5384680|5
TYDU340575|CAN4634011|5
TYDU340575|CER1323682|10
TYDU340575|CAN5715898|1
TYDU340575|FRU1209180|2
TYDU340575|FRU2196988|3
TYDU340575|CER1477445|1
TYDU340575|CAN0394548|4
TYDU340575|FRU4642919|4
TYDU340575|VEG0025252|7
TYDU340575|CER5614256|4
TYDU340575|MEA4452025|2
TYDU340575|FRU4537873|1
YHAH507718|SEA9154778|3
YHAH507718|CER1323682|5
YHAH507718|CER9337750|4
YHAH507718|FRU2196988|7
YHAH507718|CER1477445|4
YHAH507718|FRU1209180|3
YHAH507718|FRU5891741|4
YHAH507718|FRU4537873|2
YHAH507718|SEA4185464|5
YHAH507718|CAN4634011|3
YHAH507718|CER5614256|5
YHAH507718|SEA2722405|2
YHAH507718|SEA1431819|2
YHAH507718|FRO6049007|3
YHAH507718|FRU4642919|5
YHAH507718|MEA2912556|3
YHAH507718|CER5008033|3
YHAH507718|VEG1829576|4
YHAH507718|VEG9900080|2
YHAH507718|VEG5127063|1
YHAH507718|VEG0025252|5
